氏名,プロフィール
細野　豪志,"細野　豪志（ほその　ごうし）
小選挙区（静岡県第五区）選出、自由民主党・無所属の会
昭和四十六年八月京都府綾部市に生まれる、京都大学法学部卒業○株式会社三和総合研究所研究員、代議士秘書を経て二〇〇〇年初当選。内閣委員会、安保委員会、経産委員会、農水委員会など理事を歴任。公職では、内閣総理大臣補佐官、内閣府特命担当大臣（消費者及び食品安全・原子力損害賠償支援機構・原子力行政・原子力防災）、環境大臣を歴任。民主党では、役員室長、ネクスト農林水産副大臣、組織委員長、企業団体対策委員長、幹事長代理、幹事長、政策調査会長などを歴任。民進党では、代表代行○著書に「パラシューター」○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
堀内　詔子,"堀内　詔子（ほりうち　のりこ）
小選挙区（山梨県第二区）選出、自由民主党・無所属の会
外務委員長
昭和四十年十月二十八日東京都港区に生まれる、学習院大学大学院人文科学研究科博士後期課程単位取得満期退学○フジヤマミュージアム館長○東京オリンピック競技大会・東京パラリンピック競技大会担当大臣兼ワクチン接種推進担当大臣、環境副大臣兼内閣府副大臣、厚生労働大臣政務官○自民党山梨県第二選挙区支部長、党超電導リニア鉄道に関する特別委員会事務局長代理、党組織運動本部厚生関係団体委員長、党環境部会部会長代理、党女性活躍推進本部養育費に関するプロジェクトチーム座長、党国際局次長、党総務、党女性活躍推進特別委員長、党環境・温暖化対策調査会幹事長○衆議院予算委員会理事、衆議院厚生労働委員会理事、衆議院環境委員会理事○著書「堀内のり子国会奮闘記」○当選五回（46 47 48 49 50）
（令和7年3月現在）"
堀川　あきこ,"堀川　あきこ（ほりかわ　あきこ）
比例代表（近畿）選出、日本共産党
一九八六年十月十一日福岡県大牟田市に生まれる、立命館大学国際関係学部卒業○一般社団法人京都府教職員互助組合職員、日本民主青年同盟京都府委員会常任委員、同京都府委員長、日本共産党京都府委員会常任委員、同自治体部長、同副委員長○当選一回（50）
（令和7年3月現在）"
本庄　知史,"本庄　知史（ほんじょう　さとし）
小選挙区（千葉県第八区）選出、立憲民主党・無所属
昭和四十九年十月京都府京都市に生まれる、東京大学法学部卒業○衆議院議員政策担当秘書、外務大臣秘書官、副総理秘書官、立憲民主党千葉県第八区総支部長、千葉県連副代表、副幹事長、代表補佐○当選二回（49 50）
（令和7年3月現在）"
本田　太郎,"本田　太郎（ほんだ　たろう）
小選挙区（京都府第五区）選出、自由民主党・無所属の会
防衛副大臣、内閣府副大臣
昭和四十八年十二月京都府に生まれる、東京大学法学部卒業、同大学院法学政治学研究科修了、早稲田大学大学院法務研究科（ロースクール）修了○弁護士、京都府議会議員○外務大臣政務官○当選三回（48 49 50）
（令和7年3月現在）"
前原　誠司,"前原　誠司（まえはら　せいじ）
小選挙区（京都府第二区）選出、日本維新の会
一九六二年（昭和三十七年）四月三十日、京都市左京区に生まれる。京都大学法学部卒（国際政治専攻・高坂正堯ゼミ）、（財）松下政経塾（第八期生）○京都府議会議員選挙において二十八才で初当選。第四十回衆議院総選挙において初当選、外務・防衛部会長として防衛大綱・中期防の策定等に携る○衆院議運筆頭理事、裁判官訴追委員会委員長、沖北特別委員長○鳩山内閣の国土交通大臣として羽田空港国際化・日本航空再生等に携る○菅内閣の外務大臣○野田内閣の国家戦略担当大臣、海洋政策担当大臣、内閣府特命担当大臣（経済財政・科学技術・原子力行政・宇宙政策）○民主党代表、政策調査会長、民進党代表、教育無償化を実現する会代表を歴任○著書「政権交代の試練」「分断社会ニッポン（共著）」○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
牧　義夫,"牧　義夫（まき　よしお）
小選挙区（愛知県第四区）選出、立憲民主党・無所属
北朝鮮による拉致問題等に関する特別委員長
昭和三十三年一月愛知県名古屋市に生まれる、上智大学文学部哲学科中退○衆議院議員公設秘書を経て民主党本部職員となる○厚生労働副大臣○民主党副幹事長、国会対策副委員長、立憲民主党NC文部科学大臣○衆議院環境委員会理事、議院運営委員会理事、政治倫理審査会幹事、文部科学委員会筆頭理事、環境委員長、厚生労働委員長、北朝鮮による拉致問題等に関する特別委員長○当選八回（42 43 44 45 47 48 49 50）
（令和7年3月現在）"
牧島　かれん,"牧島　かれん（まきしま　かれん）
小選挙区（神奈川県第十七区）選出、自由民主党・無所属の会
昭和五十一年十一月神奈川県に生まれる、国際基督教大学教養学部社会科学科卒業、米国ジョージワシントン大学ポリティカルマネージメント大学院修了（修士号取得）、国際基督教大学大学院行政学研究科博士後期課程修了（博士号取得）○内閣府大臣政務官（地方創生・金融・防災担当）、デジタル大臣、行政改革担当大臣、内閣府特命担当大臣（規制改革）○自由民主党神奈川県第十七選挙区支部長となる○著書『日本はデジタル先進国になれるのか？』○当選五回（46 47 48 49 50）
（令和7年3月現在）"
升田　世喜男,"升田　世喜男（ますた　せきお）
比例代表（東北）選出、立憲民主党・無所属
昭和三十二年六月青森県北津軽郡小泊村に生まれる、拓殖大学商学部中退、小泊村議会議員（三期）、青森県議会議員（二期）務める。小泊観光協会会長、元西北五広域福祉事務組合議員（二期）、新岡杯争奪剣道大会大会長を歴任。維新の党青森県総支部代表、同党衆議院青森県第一選挙区支部長○当選二回（47 50）
（令和7年3月現在）"
松尾　明弘,"松尾　明弘（まつお　あきひろ）
小選挙区（東京都第七区）選出、立憲民主党・無所属
昭和五十年一月東京都世田谷区に生まれる、東京大学法学部卒業、一橋大学大学院国際企業戦略研究科修了○会社員（日本電信電話株式会社）、弁護士○立憲民主党政調会長補佐○衆議院総務委員○当選二回（48繰 50）
（令和7年3月現在）"
松木　けんこう,"松木　けんこう（まつき　けんこう）
小選挙区（北海道第二区）選出、立憲民主党・無所属
昭和三十四年二月に北海道札幌市北区新琴似に生まれる、青山学院大学経営学部卒業、公設秘書、政策担当秘書、労働大臣秘書、内閣官房長官秘書、農林水産大臣政務官となる。また（株）北海道通信社社長、現在北海道通信グループ社長、北海道バイアスロン連盟副会長、北海道アーチェリー連盟会長、北海道学生アーチェリー連盟会長、北海道トランポリン協会会長、北海道ボクシング連盟名誉会長である。民主党北海道国会議員会会長、新党大地幹事長、立憲民主党衆議院北海道第二区選挙区支部長○衆議院決算行政監視委員長、議院運営委員会理事、沖縄及び北方問題に関する特別委員会理事○著書「安心時代の創造へ、国政に市民の感覚を」○当選七回（43 44 45 47 48補 49 50）
（令和7年3月現在）"
松下　玲子,"松下　玲子（まつした　れいこ）
比例代表（東京都）選出、立憲民主党・無所属
昭和四十五年九月愛知県名古屋市に生まれる、北海道立苫小牧東高校卒業、実践女子大学文学部美学美術史学科卒業、早稲田大学大学院経済学研究科修了（応用経済学専攻）○サッポロビール株式会社社員、松下政経塾（第二十五期生）卒塾、東京都議会議員二期（八年）、都議会厚生委員会委員長、武蔵野市長二期（六年）を経て、立憲民主党より衆議院議員当選○当選一回（50）
（令和7年3月現在）"
松島　みどり,"松島　みどり（まつしま　みどり）
小選挙区（東京都第十四区）選出、自由民主党・無所属の会
昭和三十一年七月大阪府豊中市に生まれる、東京大学経済学部経済学科卒業○朝日新聞記者（政治部と経済部）○外務大臣政務官、国土交通副大臣、経済産業副大臣、法務大臣○自由民主党経済産業部会長、党副幹事長、党司法制度調査会長、党広報本部長、党文化立国調査会長代理、党中小企業・小規模事業者政策調査会長代理、党政務調査会長代理、党住宅土地・都市政策調査会長○衆議院青少年問題に関する特別委員長、環境委員長、法務委員長、消費者問題に関する特別委員長○当選八回（42 43 44 46 47 48 49 50）
（令和7年3月現在）"
松田　功,"松田　功（まつだ　いさお）
比例代表（東海）選出、立憲民主党・無所属
昭和四十三年一月二十四日愛知県弥富町（現弥富市）に生まれ、同県名古屋市に育つ、愛知大学法経学部第二経済学科卒業○マツダタイプライター勤務、衆議院議員赤松広隆秘書、愛知県西春町議会議員（一期）、同県北名古屋市議会議員（三期）、同市議会副議長○衆議院国土交通委員、消費者問題に関する特別委員○当選二回（48 50）
（令和7年3月現在）"
松野　博一,"松野　博一（まつの　ひろかず）
小選挙区（千葉県第三区）選出、自由民主党・無所属の会
昭和三十七年九月千葉県木更津市に生まれる、早稲田大学法学部卒業○ライオン株式会社社員を経て、財団法人松下政経塾入塾、現在、自由民主党衆議院千葉県第三選挙区支部長○衆議院情報監視審査会会長、自由民主党総務会長代行、雇用問題調査会会長、選挙対策委員会委員長代理○厚生労働大臣政務官、文部科学大臣、内閣官房長官○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
松原　仁,"松原　仁（まつばら　じん）
小選挙区（東京都第二十六区）選出、無所属
昭和三十一年七月東京都板橋区に生まれる、早稲田大学商学部卒業、松下政経塾（二期生）○東京都議会議員（二期）、拉致議連幹事長、オンラインゲーム・eスポーツ議連事務局長、資源リサイクル議連事務局長、ベジタリアン・ビーガン議連事務局長、CBD議連事務局長○国家公安委員会委員長、内閣府特命担当大臣（消費者及び食品安全、拉致問題担当）、国土交通副大臣○民主党東京都第三区総支部長、拉致問題対策本部副本部長、国会対策委員長、都連会長。希望の党両院議員総会長、代議士会長○衆議院災害対策特別委員会理事、北朝鮮拉致問題等特別委員長、内閣委員会理事、外務委員、沖縄及び北方問題特別委員長○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
松本　剛明,"松本　剛明（まつもと　たけあき）
小選挙区（兵庫県第十一区）選出、自由民主党・無所属の会
昭和三十四年四月東京都目黒区に生まれる、東京大学法学部卒業○株式会社日本興業銀行勤務、国務大臣防衛庁長官秘書官、松本十郎衆議院議員秘書○外務副大臣、外務大臣、総務大臣○旧民主党政策調査会長。自由民主党政務調査会長代理、党行政改革推進本部長代行、党政治制度改革実行本部顧問、党教育・人材力強化調査会副会長、党税制調査会副会長、党デジタル社会推進本部顧問、党経済成長戦略本部座長代理、党新しい資本主義実現本部副本部長、党情報通信戦略調査会顧問、党国際協力調査会長、党外交調査会副会長、党文化立国調査会長代理、党金融調査会長代理、党競争政策調査会長○衆議院財務金融委員会筆頭理事、内閣委員会筆頭理事、議院運営委員長、外務委員長となる○当選九回（42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
松本　尚,"松本　尚（まつもと　ひさし）
小選挙区（千葉県第十三区）選出、自由民主党・無所属の会
外務大臣政務官
昭和三十七年六月石川県金沢市に生まれる、金沢大学医学部卒業○救急・外傷外科医、英国アングリア・ラスキン大学経営管理学修士（MBA）取得○日本医科大学救急医学教授、同大千葉北総病院副院長・救命救急センター長、千葉県医師会理事、産経新聞「正論」執筆メンバー○防衛大臣政務官○自民党国際局次長○当選二回（49 50）
（令和7年3月現在）"
松本　洋平,"松本　洋平（まつもと　ようへい）
比例代表（東京都）選出、自由民主党・無所属の会
昭和四十八年八月東京都世田谷区に生まれる。慶應義塾大学経済学部卒業○三和銀行（現三菱UFJ銀行）入行○自民党東京都第十九選挙区支部長○内閣府大臣政務官、内閣府副大臣、経済産業副大臣○党青年局長、党広報本部ネットメディア局長、党行政改革推進本部副本部長、党国会対策副委員長、党副幹事長、党政務調査会副会長兼事務局長、党政治刷新本部党機能・ガバナンス強化に関するワーキンググループ座長○衆議院議院運営委員会理事、経済産業委員会筆頭理事、東日本大震災復興・防災・災害対策に関する特別委員会委員○当選六回（44 46 47 48 49 50）
（令和7年3月現在）"
円　より子,"円　より子（まどか　よりこ）
比例代表（東京都）選出、国民民主党・無所属クラブ
昭和二十二年二月神奈川県横須賀市に生まれる、津田塾大学英文学科卒業○ジャパンタイムズ編集局勤務後、フリーのジャーナリスト。「ニコニコ離婚講座」等のボランティア活動とテレビ・講演・著作等を通して女性の地位向上と男女共生社会を目指す○平成四年日本新党結党に参加。同五年参議院議員に繰上当選。同九年選挙特委員長、同十一年民主党参院国対委員長代理、同十三年予算委筆頭理事、党参院政審会長、財政金融委理事、同十四年党NC財務大臣、同十五年党副代表、同十六年財政金融委員長、同十八年党東京都連会長、令和二年国民民主党入党○著書「主婦症候群」「一人でも変えられる」「女と通貨と政治文化」「女は『おかしい！』を我慢できない」他四十冊○当選一回（50）参三回（16繰 18 20）
（令和7年3月現在）"
眞野　哲,"眞野　哲（まの　さとし）
比例代表（東海）選出、立憲民主党・無所属
昭和三十六年愛知県名古屋市に生まれる、日本福祉大学大学院医療福祉マネジメント研究科修了、医療福祉会社社長、立憲民主党岐阜県第五区総支部長○当選一回（50）
（令和7年3月現在）"
馬淵　澄夫,"馬淵　澄夫（まぶち　すみお）
小選挙区（奈良県第一区）選出、立憲民主党・無所属
昭和三十五年八月東京都渋谷区に生まれる、横浜国立大学工学部卒業、会社役員○国土交通副大臣、国土交通大臣、内閣府特命担当大臣（沖縄及び北方対策担当）、内閣総理大臣補佐官（東北地方太平洋沖地震による災害及び原子力発電所事故対応担当）○民主党広報委員長、エネルギー環境調査会長、幹事長代行、選挙対策委員長。民進党選挙対策委員長、立憲民主党国会対策委員長○衆議院災害対策特別委員長、衆議院決算行政監視委員長○著書「原発と政治のリアリズム」○当選八回（43 44 45 46 47 48繰 49 50）
（令和7年3月現在）"
三木　圭恵,"三木　圭恵（みき　けえ）
比例代表（近畿）選出、日本維新の会
昭和四十一年七月兵庫県西宮市に生まれる、関西大学社会学部卒業、三田市議会議員を二期。また（株）大沢商会社員。たちあがれ日本参議院比例第六支部長を経て、兵庫県第一支部長、女性部部長となる。太陽の党を経て日本維新の会衆議院兵庫県第五選挙区支部長。日本維新の会衆議院兵庫県第七選挙区支部長○当選三回（46 49 50）
（令和7年3月現在）"
水沼　秀幸,"水沼　秀幸（みずぬま　ひでゆき）
小選挙区（千葉県第四区）選出、立憲民主党・無所属
平成二年六月二十八日千葉県船橋市に生まれる、早稲田大学商学部卒業○東京海上日動火災保険株式会社課長代理○立憲民主党千葉県連副代表○立憲民主党千葉県第四区総支部長○著書「イノベーションの競争戦略」（共著）○当選一回（50）
（令和7年3月現在）"
三角　創太,"三角　創太（みすみ　そうた）
比例代表（北関東）選出、立憲民主党・無所属
昭和六十二年十二月十六日生まれ、埼玉県和光市出身○春日部市在住○私立開成中学・開成高校卒業、一橋大学社会学部卒業○三菱東京UFJ銀行入行○立憲民主党埼玉県第十六区総支部長○当選一回（50）
（令和7年3月現在）"
三反園　訓,"三反園　訓（みたぞの　さとし）
小選挙区（鹿児島県第二区）選出、自由民主党・無所属の会
昭和三十三年二月十三日生まれる。早稲田大学卒業○鹿児島県知事、ニュースキャスター、政治記者、総理官邸、外務、防衛各省庁キャップ、早稲田大学大学院非常勤講師、鹿児島県防衛会会長○著書「ニュースステーション政治記者奮闘記」「総理大臣の器」○当選二回（49 50）
（令和7年3月現在）"
三谷　英弘,"三谷　英弘（みたに　ひでひろ）
比例代表（南関東）選出、自由民主党・無所属の会
昭和五十一年六月神奈川県藤沢市に生まれる、東京大学法学部卒業、ワシントン大学ロースクール卒業、弁護士○TMI総合法律事務所勤務（第二東京弁護士会所属）、中央大学法学部兼任講師○文部科学大臣政務官兼内閣府大臣政務官兼復興大臣政務官○自民党消費者問題調査会事務局長、犯罪被害者支援PT事務局長、再犯防止推進委員会事務局長、遊説局長、神奈川県第八選挙区支部長○衆議院厚労委員会理事、憲法審査会委員○当選四回（46 48 49 50）
（令和7年3月現在）"
道下　大樹,"道下　大樹（みちした　だいき）
小選挙区（北海道第一区）選出、立憲民主党・無所属
昭和五十年十二月北海道上川郡新得町に生まれる、中央大学法学部法律学科卒業○衆議院議員横路孝弘公設秘書、北海道議会議員（三期）、北海道議会民進党道民連合議員会政策審議会長、会社役員○立憲民主党政調会長補佐、税制調査会事務局長、憲法調査会事務局長、筆頭青年局長代行、国会対策副委員長、党北海道総支部連合会副代表、党北海道第一区総支部代表○衆議院国土交通委員、総務委員、財務金融委員、憲法審査会委員、政治倫理の確立及び公職選挙法改正に関する特別委員、沖縄及び北方問題に関する特別委員、法務委員会筆頭理事、議院運営委員会理事、院内の警察及び秩序に関する小委員会委員長○共著「講座　臨床政治学　第八巻『地方選挙と政治』」（志學社）○当選三回（48 49 50）
（令和7年3月現在）"
緑川　貴士,"緑川　貴士（みどりかわ　たかし）
小選挙区（秋田県第二区）選出、立憲民主党・無所属
昭和六十年一月十日埼玉県飯能市に生まれる、早稲田大学社会科学部社会科学科卒業○秋田朝日放送アナウンサー○立憲民主党秋田県総支部連合会代表○当選三回（48 49 50）
（令和7年3月現在）"
美延　映夫,"美延　映夫（みのべ　てるお）
小選挙区（大阪府第四区）選出、日本維新の会
昭和三十六年五月大阪市北区に生まれる、神戸学院大学法学部卒業○大阪市会議員（四期）、大阪市会議長、大阪市監査委員、建設港湾委員長、市会運営委員長、市政改革特別委員長等を歴任○大阪維新の会副幹事長、大阪維新の会市会議員団幹事長を歴任○現在、衆議院文部科学委員会理事○当選三回（48繰 49 50）
（令和7年3月現在）"
御法川　信英,"御法川　信英（みのりかわ　のぶひで）
比例代表（東北）選出、自由民主党・無所属の会
農林水産委員長
昭和三十九年五月二十五日秋田県大曲市（現・大仙市）に生まれる、慶應義塾大学法学部政治学科卒業、米コロンビア大学国際関係・公共政策学大学院修士課程修了○秋田銀行、衆議院議員御法川英文公設秘書○外務大臣政務官、財務副大臣、国土交通副大臣兼内閣府副大臣兼復興副大臣○自由民主党農林部会長代理、財務金融部会長代理、国会対策筆頭副委員長、国会対策委員長代理○衆議院財務金融委員長、議院運営委員会筆頭理事、国家基本政策委員会筆頭理事、災害対策特別委員長、農林水産委員長○当選七回（43 44 46 47 48 49 50）
（令和7年3月現在）"
宮内　秀樹,"宮内　秀樹（みやうち　ひでき）
小選挙区（福岡県第四区）選出、自由民主党・無所属の会
昭和三十七年十月愛媛県松山市に生まれる、青山学院大学経営学部卒業○衆議院議員塩崎潤公設秘書、衆議院議員塩崎恭久公設秘書、参議院議員塩崎恭久公設秘書、衆議院議員渡辺具能政策担当秘書○国土交通大臣政務官、農林水産副大臣○自由民主党福岡県第四選挙区支部支部長、国土交通部会長代理、副幹事長、文部科学部会長代理、経済産業部会長○衆議院文部科学委員長○著書「チケット不正転売禁止法がよくわかるQ&A」（共著）○当選五回（46 47 48 49 50）
（令和7年3月現在）"
宮川　伸,"宮川　伸（みやかわ　しん）
比例代表（南関東）選出、立憲民主党・無所属
昭和四十五年六月岐阜県岐阜市に生まれる、東京工業大学卒業、東京工業大学博士課程修了（理学博士）○日本学術振興会特別研究員、レンセラー工科大学博士研究員、東京大学医科学研究所博士研究員、株式会社リボミック社長○民進党千葉県第十三区総支部長、立憲民主党千葉県第十三区総支部長○衆議院経済産業委員、安全保障委員、原子力問題特別委員○当選二回（48 50）
（令和7年3月現在）"
宮崎　政久,"宮崎　政久（みやざき　まさひさ）
比例代表（九州）選出、自由民主党・無所属の会
経済産業委員長
昭和四十年八月長野県上田市に生まれる、明治大学法学部卒業、弁護士○那覇青年会議所理事長、日本青年会議所沖縄地区協議会会長、沖縄弁護士会副会長、沖縄県法律顧問、更生保護法人沖縄県更生保護協会理事長、内閣府沖縄振興審議会専門委員、沖縄経済同友会常任幹事（安全保障委員会委員長）となる。また、弁護士法人那覇綜合代表弁護士、大同火災海上保険株式会社社外取締役（コンプライアンス委員会委員長）となる○厚生労働副大臣、法務大臣政務官○自由民主党幹事長補佐、政務調査会会長補佐、司法制度調査会事務局長、法務部会部会長、国土交通部会長代理、経済産業部会長代理、憲法改正推進本部幹事となる○衆議院法務委員会理事○当選五回（46 47 48繰 49 50）
（令和7年3月現在）"
宮路　拓馬,"宮路　拓馬（みやじ　たくま）
比例代表（九州）選出、自由民主党・無所属の会
外務副大臣
昭和五十四年十二月生まれ、鹿児島県立鶴丸高校卒業、東京大学法学部卒業○総務省入省、奈良県財政課、総務省消防庁、同自治行政局、広島市企画調整部調整担当課長及び財政課長、内閣官房副長官補（安全保障・危機管理担当）付参事官補佐、総務省大臣官房秘書課課長補佐○総務大臣政務官、内閣府大臣政務官、外務副大臣○自由民主党鹿児島県第一選挙区支部長、同党農林部会長代理、同党水産部会長代理○当選四回（47 48 49 50）
（令和7年3月現在）"
宮下　一郎,"宮下　一郎（みやした　いちろう）
小選挙区（長野県第五区）選出、自由民主党・無所属の会
昭和三十三年八月一日愛知県名古屋市に生まれる、東京大学経済学部経済学科卒業○住友銀行入行、防衛・環境・厚生大臣秘書官、政策担当秘書○財務大臣政務官、財務副大臣、内閣府副大臣、農林水産大臣○衆議院財務金融委員会理事、経済産業委員会理事、財務金融委員長、予算委員会理事、農林水産委員会筆頭理事○自民党経済産業部会長、政務調査会副会長、農林部会長、政務調査会会長代理○現在、自民党総合農林政策調査会長○当選七回（43 44 46 47 48 49 50）
（令和7年3月現在）"
向山　淳,"向山　淳（むこうやま　じゅん）
比例代表（北海道）選出、自由民主党・無所属の会
昭和五十八年十一月埼玉県に生まれる、慶應義塾大学法学部卒業、ハーバード大学ケネディ公共政策大学院（行政学修士）修了○三菱商事株式会社、公益財団法人国際文化会館アジア・パシフィック・イニシアティブ主任研究員、向山政策ラボ代表、自由民主党北海道第八選挙区支部長○当選一回（50）
（令和7年3月現在）"
向山　好一,"向山　好一（むこやま　こういち）
比例代表（近畿）選出、国民民主党・無所属クラブ
昭和三十二年七月兵庫県伊丹市に生まれる、大阪大学経済学部卒業、大阪ガス株式会社社員○衆議院議員公設秘書、神戸市議会議員二期、兵庫県議会議員二期を務める。また、保護司、少年野球連盟顧問となる○国民民主党兵庫県連代表。衆議院総務委員会理事○当選二回（45 50）
（令和7年3月現在）"
武藤　容治,"武藤　容治（むとう　ようじ）
小選挙区（岐阜県第三区）選出、自由民主党・無所属の会
経済産業大臣、内閣府特命担当大臣
昭和三十年十月岐阜県岐阜市に生まれる、慶應義塾大学商学部卒業○建材卸売会社、酒造会社社長・会長○総務大臣政務官、外務副大臣、経済産業副大臣、原子力災害現地対策本部長、経済産業大臣○自由民主党政務調査会副会長、副幹事長、国会対策副委員長、鳥獣被害対策特別委員長○衆議院農林水産委員長、予算委員会理事、議院運営委員会理事○当選六回（44 46 47 48 49 50）
（令和7年3月現在）"
村井　英樹,"村井　英樹（むらい　ひでき）
小選挙区（埼玉県第一区）選出、自由民主党・無所属の会
昭和五十五年五月埼玉県さいたま市に生まれる、東京大学教養学部卒業、ハーバード大学大学院修了。財務省主税局参事官補佐○内閣官房副長官、内閣総理大臣補佐官（国内経済その他特命事項担当）、内閣府大臣政務官（経済再生・金融庁担当）、自民党国会対策副委員長（筆頭）、自民党副幹事長、自民党年金委員会事務局長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
村岡　敏英,"村岡　敏英（むらおか　としひで）
小選挙区（秋田県第三区）選出、国民民主党・無所属クラブ
昭和三十五年七月秋田県由利本荘市に生まれる、日本大学商学部卒業、衆議院議員公設第一秘書、運輸大臣秘書官、内閣官房長官秘書官となる○衆議院農林水産委員会理事、国土交通委員、東日本大震災復興特別委員、地方創生に関する特別委員、国土交通省国土審議会豪雪地帯対策分科会特別委員となる○維新の党秋田県第三選挙区支部長、国会対策委員長代行となる○議院運営委員会理事○著書に「STAFF秘書が見た日本政治の十六年」○当選三回（46 47 50）
（令和7年3月現在）"
村上　誠一郎,"村上　誠一郎（むらかみ　せいいちろう）
比例代表（四国）選出、自由民主党・無所属の会
総務大臣
昭和二十七年五月愛媛県越智郡宮窪町大字宮窪に生まれる、東京大学法学部卒業○通商産業大臣・自由民主党政務調査会長・国務大臣経済企画庁長官各秘書を務める○大蔵政務次官、大蔵総括政務次官、初代財務副大臣、国務大臣（行政改革・構造改革特区・地域再生担当）・内閣府特命担当大臣（規制改革・産業再生機構担当）となる。また自由民主党副幹事長（七期）・地域再生戦略調査会長・愛媛県連会長（四期）を務め、現在自由民主党総務・税制調査会副会長・海運造船対策特別委員長・四国ブロック両院議員会長○衆議院石炭対策特別委員長、大蔵委員長、政治倫理審査会会長○平成二十三年五月永年在職議員として衆議院より表彰される○当選十三回（38 39 40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
村上　智信,"村上　智信（むらかみ　とものぶ）
小選挙区（福岡県第十一区）選出、日本維新の会
昭和四十四年十月福岡県築上郡築上町に生まれる、東京大学大学院工学系研究科（修士課程）修了、平成七年通商産業省入省、製造産業局鉄鋼課課長補佐、消費者庁消費者安全課課長補佐、商務情報政策局医療福祉機器産業室長、内閣府原子力災害対策本部原子力被災者生活支援チーム、東北大学教授未来科学技術共同研究センター副センター長、商務情報政策局情報プロジェクト室長を最後に平成二十八年退官、日本維新の会福岡県第十一区支部長、衆議院財務金融委員会○当選一回（50）
（令和7年3月現在）"
茂木　敏充,"茂木　敏充（もてぎ　としみつ）
小選挙区（栃木県第五区）選出、自由民主党・無所属の会
昭和三十年十月栃木県足利市に生まれる、東京大学経済学部卒業、ハーバード大学大学院修了○丸紅株式会社、読売新聞政治部、マッキンゼー社経営コンサルタントを経て経済評論家となる。通商産業政務次官、外務副大臣、国務大臣（沖縄・北方、科学技術、IT担当）、衆議院厚生労働委員長、金融・行政改革担当大臣、自民党政務調査会長、経済産業大臣、自民党選挙対策委員長、自民党政務調査会長、内閣府特命担当大臣（経済再生、人づくり革命、社会保障・税一体改革、経済財政政策担当）、外務大臣を経て、自民党幹事長、栃木県連会長○著書「都会の不満・地方の不安」「次に来る経済危機」「『政策新人類』が日本を変える」「勝者の選択」「日本経済　再生への最終回答」「日本外交の構想力」○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
本村　伸子,"本村　伸子（もとむら　のぶこ）
比例代表（東海）選出、日本共産党
一九七二年十月二十日愛知県豊田市に生まれ、龍谷大学文学研究科国史学専攻修士課程修了後、新日本婦人の会愛知県本部の職員となる。一九九八年から二〇〇四年まで八田ひろ子参議院議員の国会秘書となる。日本共産党国土交通部会長、同党総務部会長等を務める。現在、同党幹部会委員。衆議院法務委員、消費者問題特別委員、地域・こども・デジタル特別委員○当選四回（47 48 49 50）
（令和7年3月現在）"
森　英介,"森　英介（もり　えいすけ）
小選挙区（千葉県第十一区）選出、自由民主党・無所属の会
昭和二十三年八月生まれ。東北大学工学部卒業、川崎重工業入社、昭和五十九年七月名古屋大学より原子力プラント研究成果により工学博士号授与。労働政務次官。厚生労働副大臣。法務大臣。党労政局長。党組織運動本部長。党雇用問題調査会長。党司法制度調査会長。裁判官訴追委員長。衆厚生労働委員長。衆原子力問題調査特別委員長。衆憲法審査会長○平成二十七年二月永年在職議員として衆議院より表彰される○当選十二回（39 40 41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
森　ようすけ,"森　ようすけ（もり　ようすけ）
比例代表（東京都）選出、国民民主党・無所属クラブ
平成六年七月大阪府茨木市に生まれる、上智大学経済学部経済学科卒業、一橋大学国際・公共政策大学院修了○環境省職員、株式会社ローランド・ベルガー社員、農機具買取・販売会社創業、代表取締役○国民民主党東京都第十三区総支部長○衆議院厚生労働委員、政治改革に関する特別委員○当選一回（50）
（令和7年3月現在）"
森下　千里,"森下　千里（もりした　ちさと）
比例代表（東北）選出、自由民主党・無所属の会
昭和五十六年九月一日愛知県名古屋市中村区に生まれる、宮城県石巻市在住○自由民主党宮城県第五選挙区支部長を経て、自由民主党宮城県衆議院比例区第一支部長、東北福祉大学客員教授、防災士○自由民主党国会対策委員○衆議院内閣委員会委員、経済産業委員会委員、東日本大震災復興・防災・災害対策に関する特別委員会委員、原子力問題調査特別委員会委員○当選一回（50）
（令和7年3月現在）"
